title,url
"\"Confidential\" 988 Conversation Records Shared with Corporations","https://www.madinamerica.com/2024/06/988-records-shared/"
"Designing a Lego orrery","https://marian42.de/article/orrery/"
"Libtree: Ldd as a tree saying why a library is found or not","https://github.com/haampie/libtree"
"Ultrasonic investigations in shopping centres","https://www.windytan.com/2024/06/ultrasonic-investigations-in-shopping.html"
"A DSL for Implementing Math Functions","https://blog.sigplan.org/2024/06/03/a-dsl-for-implementing-math-functions/"
"WARC-GPT: An open-source tool for exploring web archives using AI","https://lil.law.harvard.edu/blog/2024/02/12/warc-gpt-an-open-source-tool-for-exploring-web-archives-with-ai/"
"Piku: Allows git push deployments to your own servers","https://github.com/piku/piku"
"A ChatGPT mistake cost us $10k","https://asim.bearblog.dev/how-a-single-chatgpt-mistake-cost-us-10000/"
"Heretical thoughts about science and society (2005)","https://www.edge.org/conversation/freeman_dyson-heretical-thoughts-about-science-and-society"
"Claude's Character","https://www.anthropic.com/research/claude-character"